nombre,sintoma,causa,peso
migraña,dolor de cabeza,estrés,2.5
migraña,náuseas,insomnio,1.5
migraña,dolor de cabeza,golpe en la cabeza,1.5
migraña,dolor de cabeza,insomnio,1.0
migraña,sensibilidad a la luz,alimentos procesados,1.2
migraña,visión borrosa,cambios hormonales,1.8
fractura craneal,dolor en la cabeza,golpe en la cabeza,3.0
fractura craneal,dolor en la cabeza,insomnio,0.3
fractura craneal,pérdida de conciencia,accidente de tráfico,2.8
fractura craneal,sangrado,natación con impacto,2.0
fractura craneal,vómitos,caída desde altura,2.5
gripe,fiebre,infección viral,2.2
gripe,dolor muscular,cambio de clima,1.3
gripe,tos,contacto cercano,1.8
gripe,dolor de garganta,exposición prolongada al frío,1.5
apendicitis,dolor abdominal,inflamación del apéndice,3.0
apendicitis,fiebre,infección bacteriana,2.0
apendicitis,pérdida de apetito,obstrucción intestinal,1.7
apendicitis,náuseas,dieta baja en fibra,1.5
asma,dificultad para respirar,exposición a alérgenos,2.8
asma,tos persistente,aire frío,2.0
asma,silbidos al respirar,ejercicio físico,1.7
asma,opresión en el pecho,contaminación ambiental,2.5
diabetes tipo 2,sed excesiva,resistencia a la insulina,2.7
diabetes tipo 2,visión borrosa,hiperglucemia,2.0
diabetes tipo 2,fatiga,obesidad,2.5
diabetes tipo 2,orinar frecuentemente,alimentación alta en azúcares,2.3
hipertensión,visión borrosa,estrés crónico,2.1
hipertensión,dolor de cabeza,exceso de sal,2.4
hipertensión,zumbido en los oídos,problemas renales,2.0
hipertensión,mareos,sedentarismo,2.2
alzheimer,pérdida de memoria,envejecimiento cerebral,3.0
alzheimer,desorientación,depósitos de beta-amiloide,2.5
alzheimer,cambios de humor,factores genéticos,2.2
alzheimer,dificultad para hablar,lesión neurológica,2.3
covid-19,fiebre,infección por SARS-CoV-2,3.0
covid-19,tos seca,contacto cercano con infectado,2.8
covid-19,pérdida del olfato,mutación viral,2.5
covid-19,dificultad para respirar,pulmonar previa,2.7
neumonía,fiebre,infección bacteriana,2.8
neumonía,tos con flema,infección viral,2.5
neumonía,dolor en el pecho,exposición prolongada al frío,2.2
neumonía,escalofríos,sistema inmune débil,2.4
hepatitis B,ictericia,infección por VHB,3.0
hepatitis B,dolor abdominal,contacto con fluidos infectados,2.7
hepatitis B,náuseas,transmisión sexual,2.2
hepatitis B,orina oscura,uso compartido de agujas,2.5
gastritis,dolor abdominal,consumo excesivo de alcohol,2.4
gastritis,náuseas,infección por Helicobacter pylori,2.7
gastritis,ardor estomacal,uso prolongado de AINES,2.5
gastritis,pérdida de apetito,estrés,1.8
