nombre_experimento,consulta,agregados,nodo_seleccionado,score,enfermedades_relevantes
migraña,"dolor de cabeza, náuseas","sensibilidad a la luz, vómitos, visión borrosa, insomnio",Infección viral,0.0,
migraña,"sensibilidad a la luz, vómitos, visión borrosa, insomnio","dolor de cabeza, náuseas",dificultad para dormir e irritabilidad,0.0,
hipertensión,"dolor de cabeza, mareos","zumbido de oídos, fatiga, visión borrosa",Infección viral,0.0,
hipertensión,"zumbido de oídos, fatiga, visión borrosa","dolor de cabeza, mareos",nutrición inadecuada,0.0,
hipotiroidismo,"fatiga, aumento de peso","piel seca, intolerancia al frío, estreñimiento",GN membranosa,0.0,
hipotiroidismo,"piel seca, intolerancia al frío, estreñimiento","fatiga, aumento de peso",hipotiroidismo severo,0.0,
asma,"sibilancias, tos seca","opresión torácica, dificultad para respirar al hacer ejercicio",bronquitis industrial,0.0,
asma,"opresión torácica, dificultad para respirar al hacer ejercicio","sibilancias, tos seca",epoc,0.0,
anemia,"fatiga, palidez","taquicardia, mareos, dificultad para concentrarse",anemia megaloblástica,0.0,
anemia,"taquicardia, mareos, dificultad para concentrarse","fatiga, palidez",somatización,0.0,
meningitis,"fiebre, rigidez de nuca","vómitos, confusión, dolor de cabeza",ronquera - laringitis,0.0,
meningitis tardia,"rigidez de nuca, fiebre, cefalea intensa","náuseas, confusión, fotofobia",ronquera - laringitis,0.0,
diabetes tipo2,"sed excesiva, pérdida de peso inexplicada","poliuria, cansancio, visión borrosa",diabetes insípida neurogénica,0.0,
diabetes tipo2,"poliuria, cansancio, visión borrosa","sed excesiva, pérdida de peso inexplicada",pérdida de visión - oclusión de la arteria de la retina,0.0,
hepatitis,"ictericia, dolor en cuadrante superior derecho","orina oscura, fatiga, náuseas",ovalocitosis hereditaria,0.0,
hepatitis,"orina oscura, fatiga, náuseas","ictericia, dolor en cuadrante superior derecho",somatización,0.0,
infeccion urinaria,"dolor al orinar, urgencia urinaria","orina turbia, dolor lumbar, fiebre leve",cistitis aguda,0.0,
infeccion urinaria,"orina turbia, dolor lumbar, fiebre leve",,zika,0.0,
artritis reumatoide,"dolor articular, hinchazón de manos","rigidez matutina, fatiga, pérdida de apetito",artritis infecciosa,0.0,
artritis reumatoide,"rigidez matutina, fatiga, pérdida de apetito",,nutrición inadecuada,0.0,
hiperglucemia,"sed excesiva, visión borrosa","aumento de la micción, fatiga, infecciones frecuentes",hiperglucemia,0.0,
hiperglucemia,"aumento de la micción, fatiga, infecciones frecuentes",,nutrición inadecuada,0.0,
bronquitis,"tos persistente, producción de esputo","sibilancias, opresión torácica, fiebre baja",bronquitis crónica,0.0,
bronquitis,"sibilancias, opresión torácica, fiebre baja",,bronquitis industrial,0.0,
malaria,"fiebre intermitente, escalofríos","dolor de cabeza, sudoración profusa, anemia",Sepsis,0.0,
malaria,"dolor de cabeza, sudoración profusa, anemia",,dificultad para respirar tras actividad leve o incluso en reposo,0.0,
tuberculosis,"tos crónica, pérdida de peso","sudoración nocturna, fiebre baja, dolor torácico",nutrición inadecuada,0.0,
tuberculosis,"sudoración nocturna, fiebre baja, dolor torácico",,colapso parcial del pulmón,0.0,
osteoporosis,"dolor óseo, fractura espontánea","pérdida de estatura, curvatura de columna, dolor lumbar",hipofosfatemia,0.0,
osteoporosis,"pérdida de estatura, curvatura de columna, dolor lumbar",,prostatitis,0.0,
alergia,"estornudos, picazón nasal","ojos llorosos, congestión nasal, tos seca",pólipos nasales,0.0,
alergia,"ojos llorosos, congestión nasal, tos seca",,disnea progresiva,0.0,
insuficiencia renal,"edema, fatiga","orina espumosa, hipertensión, prurito generalizado",nutrición inadecuada,0.0,
insuficiencia renal,"edema, fatiga","orina espumosa, hipertensión, prurito generalizado",nutrición inadecuada,0.0,
cardiomiopatía,"fatiga, hinchazón de tobillos","dificultad para respirar, palpitaciones, dolor torácico leve",nutrición inadecuada,0.0,
cardiomiopatía,"dificultad para respirar, palpitaciones, dolor torácico leve",,bronquitis ocupacional,0.0,
esquizofrenia,"alucinaciones, ideas delirantes","aislamiento social, pérdida de motivación, pensamiento desorganizado",meningitis criptocócica,0.0,
esquizofrenia,"aislamiento social, pérdida de motivación, pensamiento desorganizado",,ppd,0.0,
parkinson,"temblor en reposo, rigidez muscular","bradicinesia, inestabilidad postural, falta de expresión facial",parkinson,0.0,
parkinson,"bradicinesia, inestabilidad postural, falta de expresión facial",,parálisis agitante,0.0,
colitis ulcerosa,"diarrea con sangre, dolor abdominal bajo","tenesmo rectal, pérdida de peso, fatiga crónica",parásitos intestinales - nemátodo,0.0,
colitis ulcerosa,"tenesmo rectal, pérdida de peso, fatiga crónica",,nutrición inadecuada,0.0,
sarampión,"erupción cutánea, fiebre alta","tos seca, congestión nasal, manchas de Koplik",Sepsis,0.0,
sarampión,"tos seca, congestión nasal, manchas de Koplik",,disnea progresiva,0.0,
hemochromatosis,"fatiga, dolor articular","coloración broncínea de la piel, pérdida de peso, dolor abdominal",viral,0.0,
hemochromatosis,"coloración broncínea de la piel, pérdida de peso, dolor abdominal",,rotavirus,0.0,
esclerosis múltiple,"visión borrosa intermitente, entumecimiento","fatiga, dificultad para caminar, mialgias",exceso de mineralocorticoides,0.0,
esclerosis múltiple,"fatiga, dificultad para caminar, mialgias",,nutrición inadecuada,0.0,
insuficiencia venosa,"hinchazón de piernas, dolor sordo de pantorrillas","venas varicosas, picazón, cambios de piel",glomerulonefritis - aguda,0.0,
insuficiencia venosa,"venas varicosas, picazón, cambios de piel",,dolor de piernas,0.0,
amiloidosis,"fatiga, hinchazón abdominal","macroglosia, pérdida de peso, palpitaciones",nutrición inadecuada,0.0,
amiloidosis,"macroglosia, pérdida de peso, palpitaciones",,nutrición inadecuada,0.0,
síndrome de cushing,"aumento de peso central, fatiga","cara de luna llena, estrías purpúreas, hipertensión",nutrición inadecuada,0.0,
síndrome de cushing,"cara de luna llena, estrías purpúreas, hipertensión",,tensión arterial alta,0.0,
esofagitis reflujo,"ardor esternal, regurgitación ácida","dolor de garganta, tos crónica, náuseas",Ninguno,2,
esofagitis reflujo,"dolor de garganta, tos crónica, náuseas",,hinchazón de la parte posterior de la garganta (faringe),0.3333,dolor de garganta
coledocolitiasis,"ictericia, dolor en hipocondrio derecho","orina oscura, heces pálidas, náuseas",ovalocitosis hereditaria,0.0,
coledocolitiasis,"orina oscura, heces pálidas, náuseas",,colestasis intrahepática,0.0,
pancreatitis,"dolor abdominal superior, náuseas","vómitos, fiebre, taquicardia",gastritis,0.0,
pancreatitis,"vómitos, fiebre, taquicardia",,rotavirus,0.0,
nefrolitiasis,"dolor lumbar intenso, hematuria","náuseas, vómitos, urgencia urinaria",cáncer de próstata,0.0,
nefrolitiasis,"náuseas, vómitos, urgencia urinaria",,rotavirus,0.0,
enfisema,"disnea progresiva, tos crónica","sibilancias, pérdida de peso, cianosis labios",metástasis pulmonar (osteosarcoma),0.0,
enfisema,"sibilancias, pérdida de peso, cianosis labios",,bronquitis ocupacional,0.0,
